name,ingredients,nutrition,steps,meal_type,allergen,equipment_needed,method,protein,calories,carbs,fiber,prep_time,cook_time,fat,bucket,timing,dietary,allergens,equipment,health_tags,effort_tags,flavor_tags
Pancakes,flour milk egg baking powder butter sugar,Protein 5.2g Calories 463.6,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Snack,Gluten Dairy,Oven,Bake,5.2,463.6,53.6,2.3,20,45,25.7,Breakfast,['Snack'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Oven', '没有No-Cook']",['Stable Energy'],"['Slow Burn', 'Fresh Run', 'Meal Prep']","['Sweet', 'Creamy', 'Comfort Food', 'Kid Friendly']"
Quick Pancakes,flour milk egg baking powder butter sugar,Protein 9.4g Calories 315.4,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Snack,Gluten Dairy,Oven,Bake,9.4,315.4,45.1,1.6,20,45,25.5,Breakfast,['Snack'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Oven', '没有No-Cook']",['Stable Energy'],"['Slow Burn', 'Fresh Run', 'Meal Prep']","['Sweet', 'Creamy', 'Comfort Food', 'Kid Friendly']"
Homestyle Pancakes,flour milk egg baking powder butter sugar,Protein 5.5g Calories 311.2,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Snack,Gluten Dairy,Microwave,Microwave,5.5,311.2,52.0,1.1,5,6,21.9,Breakfast,['Snack'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Microwave', '没有No-Cook']",['Stable Energy'],"['Microwave-Only', 'Lightning', 'Brainless', 'Fresh Run', 'Portable']","['Sweet', 'Creamy', 'Comfort Food', 'Kid Friendly']"
High-Protein Pancakes,flour milk egg baking powder butter sugar,Protein 8.7g Calories 283.6,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Snack,Gluten Dairy,Oven,Bake,8.7,283.6,54.5,1.7,20,45,15.8,Breakfast,['Snack'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Oven', '没有No-Cook']",['Stable Energy'],"['Slow Burn', 'Fresh Run', 'Meal Prep']","['Sweet', 'Creamy', 'Comfort Food', 'Kid Friendly']"
Berry Pancakes,flour milk egg baking powder butter sugar,Protein 8.5g Calories 292.6,"Preheat the oven and prepare a baking dish or sheet pan. Mix or assemble the ingredients in the dish. Bake until cooked through and lightly browned. Rest briefly, then slice or serve.",Snack,Gluten Dairy,Oven,Bake,8.5,292.6,66.0,2.9,20,45,23.4,Breakfast,['Snack'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Oven', '没有No-Cook']",['Coma Inducing'],"['Slow Burn', 'Fresh Run', 'Meal Prep']","['Sweet', 'Creamy', 'Comfort Food', 'Kid Friendly']"
Waffles,flour milk egg baking powder butter sugar,Protein 16.2g Calories 506.7,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Gluten Dairy,Stove,Cook,16.2,506.7,48.8,5.8,10,20,17.1,Breakfast,['Breakfast'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']","['Compact Fuel', 'Stable Energy']","['Quick Fix', 'Fresh Run']","['Sweet', 'Creamy', 'Comfort Food', 'Kid Friendly']"
Quick Waffles,flour milk egg baking powder butter sugar,Protein 19.4g Calories 330.4,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Gluten Dairy,Stove,Cook,19.4,330.4,75.3,3.8,10,20,17.3,Breakfast,['Breakfast'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Sweet', 'Creamy', 'Comfort Food', 'Kid Friendly']"
Homestyle Waffles,flour milk egg baking powder butter sugar,Protein 10.7g Calories 551.4,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Gluten Dairy,Stove,Cook,10.7,551.4,61.8,4.7,10,20,15.6,Breakfast,['Breakfast'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']",['Compact Fuel'],"['Quick Fix', 'Fresh Run']","['Sweet', 'Creamy', 'Comfort Food', 'Kid Friendly']"
High-Protein Waffles,flour milk egg baking powder butter sugar,Protein 20.9g Calories 437.7,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Gluten Dairy,Stove,Cook,20.9,437.7,47.6,4.4,10,20,11.1,Breakfast,['Breakfast'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Sweet', 'Creamy', 'Comfort Food', 'Kid Friendly']"
Berry Waffles,flour milk egg baking powder butter sugar,Protein 13.3g Calories 335.8,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Gluten Dairy,Stove,Cook,13.3,335.8,67.2,3.3,10,20,17.7,Breakfast,['Breakfast'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Sweet', 'Creamy', 'Comfort Food', 'Kid Friendly']"
French Toast,bread egg milk cinnamon butter,Protein 16.4g Calories 558.7,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Gluten Dairy,Stove,Cook,16.4,558.7,60.9,2.4,10,20,18.5,Breakfast,['Breakfast'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']","['Coma Inducing', 'Compact Fuel']","['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Quick French Toast,bread egg milk cinnamon butter,Protein 20.2g Calories 488.4,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Gluten Dairy,Stove,Cook,20.2,488.4,67.8,4.9,10,20,20.8,Breakfast,['Breakfast'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Homestyle French Toast,bread egg milk cinnamon butter,Protein 15.4g Calories 371.6,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Gluten Dairy,Stove,Cook,15.4,371.6,53.0,3.8,10,20,14.7,Breakfast,['Breakfast'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
High-Protein French Toast,bread egg milk cinnamon butter,Protein 11.1g Calories 419.8,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Gluten Dairy,Stove,Cook,11.1,419.8,59.9,3.5,10,20,19.3,Breakfast,['Breakfast'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Berry French Toast,bread egg milk cinnamon butter,Protein 21.1g Calories 356.6,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Gluten Dairy,Stove,Cook,21.1,356.6,47.3,2.4,10,20,21.6,Breakfast,['Breakfast'],['Vegan'],"['Contains Gluten', 'Contains Dairy']","['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Oatmeal Bowl,oats milk salt,Protein 21.1g Calories 275.5,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Dairy,Stove,Cook,21.1,275.5,59.4,7.9,10,20,10.0,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],"['没有Stove', '没有No-Cook']","['Protein High', 'Stable Energy']","['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Quick Oatmeal Bowl,oats milk salt,Protein 14.9g Calories 349.9,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Dairy,Stove,Cook,14.9,349.9,38.7,8.3,10,20,8.2,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],"['没有Stove', '没有No-Cook']","['Volume Eater', 'Stable Energy']","['Quick Fix', 'Fresh Run']",['Savory']
Homestyle Oatmeal Bowl,oats milk salt,Protein 23.0g Calories 380.0,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Dairy,Stove,Cook,23.0,380.0,56.6,8.0,10,20,13.7,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
High-Protein Oatmeal Bowl,oats milk salt,Protein 18.7g Calories 316.3,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Dairy,Stove,Cook,18.7,316.3,41.4,6.1,10,20,10.9,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Berry Oatmeal Bowl,oats milk salt,Protein 22.7g Calories 277.3,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Dairy,Stove,Cook,22.7,277.3,46.0,7.9,10,20,11.9,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],"['没有Stove', '没有No-Cook']","['Protein High', 'Stable Energy']","['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Greek Yogurt Parfait,greek yogurt berries granola honey,Protein 20.1g Calories 513.7,"Prep the ingredients and a serving bowl. Combine everything and toss until evenly coated. Taste and adjust seasoning, then serve.",Breakfast,Dairy,,No-Cook,20.1,513.7,79.1,4.5,5,0,21.5,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],[],['Compact Fuel'],"['Lightning', 'Brainless', 'Fresh Run', 'Portable']","['Sweet', 'Sour', 'Creamy', 'Comfort Food']"
Quick Greek Yogurt Parfait,greek yogurt berries granola honey,Protein 10.3g Calories 474.2,"Prep the ingredients and a serving bowl. Combine everything and toss until evenly coated. Taste and adjust seasoning, then serve.",Breakfast,Dairy,,No-Cook,10.3,474.2,77.5,3.1,5,0,21.6,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],[],['Stable Energy'],"['Lightning', 'Brainless', 'Fresh Run', 'Portable']","['Sweet', 'Sour', 'Creamy', 'Comfort Food']"
Homestyle Greek Yogurt Parfait,greek yogurt berries granola honey,Protein 18.4g Calories 363.3,"Prep the ingredients and a serving bowl. Combine everything and toss until evenly coated. Taste and adjust seasoning, then serve.",Breakfast,Dairy,,No-Cook,18.4,363.3,55.8,2.0,5,0,14.8,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],[],['Stable Energy'],"['Lightning', 'Brainless', 'Fresh Run', 'Portable']","['Sweet', 'Sour', 'Creamy', 'Comfort Food']"
High-Protein Greek Yogurt Parfait,greek yogurt berries granola honey,Protein 16.8g Calories 528.8,"Prep the ingredients and a serving bowl. Combine everything and toss until evenly coated. Taste and adjust seasoning, then serve.",Breakfast,Dairy,,No-Cook,16.8,528.8,59.0,4.5,5,0,12.0,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],[],"['Compact Fuel', 'Stable Energy']","['Lightning', 'Brainless', 'Fresh Run', 'Portable']","['Sweet', 'Sour', 'Creamy', 'Comfort Food']"
Berry Greek Yogurt Parfait,greek yogurt berries granola honey,Protein 19.0g Calories 327.4,"Prep the ingredients and a serving bowl. Combine everything and toss until evenly coated. Taste and adjust seasoning, then serve.",Breakfast,Dairy,,No-Cook,19.0,327.4,52.5,3.4,5,0,15.9,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],[],['Stable Energy'],"['Lightning', 'Brainless', 'Fresh Run', 'Portable']","['Sweet', 'Sour', 'Creamy', 'Comfort Food']"
Egg Omelet,,Protein 27.5g Calories 294.0,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,27.5,294.0,14.4,0.3,10,20,19.9,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Protein High'],"['Quick Fix', 'Fresh Run']",['Savory']
Quick Egg Omelet,,Protein 18.5g Calories 230.5,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,18.5,230.5,11.9,0.8,10,20,21.4,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Protein High'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Homestyle Egg Omelet,,Protein 23.8g Calories 352.4,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,23.8,352.4,9.1,2.3,10,20,15.8,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Keto Friendly'],"['Quick Fix', 'Fresh Run']",['Savory']
High-Protein Egg Omelet,,Protein 22.9g Calories 242.8,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,22.9,242.8,6.5,1.5,10,20,21.5,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly']","['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Berry Egg Omelet,,Protein 16.7g Calories 353.4,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,16.7,353.4,8.3,0.0,10,20,20.4,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Keto Friendly'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Scrambled Eggs,,Protein 19.4g Calories 280.3,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,19.4,280.3,4.2,1.0,10,20,15.6,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Keto Friendly'],"['Quick Fix', 'Fresh Run']",['Savory']
Quick Scrambled Eggs,,Protein 28.0g Calories 221.5,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,28.0,221.5,4.8,2.1,10,20,17.3,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']","['Protein High', 'Keto Friendly']","['Quick Fix', 'Fresh Run']",['Savory']
Homestyle Scrambled Eggs,,Protein 29.3g Calories 320.1,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,29.3,320.1,14.9,2.6,10,20,13.0,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Protein High'],"['Quick Fix', 'Fresh Run']",['Savory']
High-Protein Scrambled Eggs,,Protein 16.3g Calories 228.5,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,16.3,228.5,16.7,1.7,10,20,24.1,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Berry Scrambled Eggs,,Protein 27.4g Calories 334.7,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,27.4,334.7,8.7,0.1,10,20,13.6,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Protein High'],"['Quick Fix', 'Fresh Run']",['Savory']
Bagel with Cream Cheese,,Protein 19.6g Calories 397.9,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,19.6,397.9,66.6,5.7,10,20,21.6,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Quick Bagel with Cream Cheese,,Protein 20.1g Calories 341.2,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,20.1,341.2,53.5,4.1,10,20,18.2,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Homestyle Bagel with Cream Cheese,,Protein 13.7g Calories 415.0,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,13.7,415.0,56.9,2.7,10,20,14.7,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
High-Protein Bagel with Cream Cheese,,Protein 11.4g Calories 442.5,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,11.4,442.5,62.8,3.4,10,20,22.7,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Berry Bagel with Cream Cheese,,Protein 19.8g Calories 494.6,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,19.8,494.6,73.5,2.6,10,20,13.3,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Coma Inducing'],"['Quick Fix', 'Fresh Run']","['Savory', 'Creamy', 'Comfort Food']"
Breakfast Burrito,,Protein 17.2g Calories 367.3,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,17.2,367.3,71.6,2.7,10,20,19.2,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Coma Inducing'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Quick Breakfast Burrito,,Protein 15.9g Calories 505.5,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,15.9,505.5,71.4,3.8,10,20,20.6,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Compact Fuel'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Homestyle Breakfast Burrito,,Protein 16.8g Calories 541.8,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,16.8,541.8,67.2,5.5,10,20,18.7,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Compact Fuel'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
High-Protein Breakfast Burrito,,Protein 11.8g Calories 470.5,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,11.8,470.5,47.4,3.2,10,20,16.2,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Berry Breakfast Burrito,,Protein 10.7g Calories 385.9,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,,Stove,Cook,10.7,385.9,62.8,3.8,10,20,14.3,Breakfast,['Breakfast'],[],[],"['没有Stove', '没有No-Cook']",['Stable Energy'],"['Quick Fix', 'Fresh Run']","['Savory', 'Comfort Food']"
Protein Smoothie,banana berries greek yogurt milk protein powder,Protein 35.0g Calories 231.4,"Prep and season the ingredients. Cook using the chosen method until done. Taste, adjust seasoning, and serve.",Breakfast,Dairy,Microwave,Microwave,35.0,231.4,27.3,7.3,5,6,12.6,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],"['没有Microwave', '没有No-Cook']",['Protein High'],"['Microwave-Only', 'Lightning', 'Brainless', 'Fresh Run', 'Portable']","['Sweet', 'Sour', 'Creamy']"
Quick Protein Smoothie,banana berries greek yogurt milk protein powder,Protein 29.1g Calories 343.0,"Add all ingredients to a blender. Blend until smooth, adding a splash of liquid if needed. Pour into a glass and serve cold.",Breakfast,Dairy,Blender,Blend,29.1,343.0,38.9,7.0,5,2,9.5,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],"['没有Blender', '没有No-Cook']","['Protein High', 'Stable Energy']","['Lightning', 'Brainless', 'Fresh Run', 'Portable']","['Sweet', 'Sour', 'Creamy']"
Homestyle Protein Smoothie,banana berries greek yogurt milk protein powder,Protein 28.1g Calories 399.2,"Add all ingredients to a blender. Blend until smooth, adding a splash of liquid if needed. Pour into a glass and serve cold.",Breakfast,Dairy,Blender,Blend,28.1,399.2,49.3,4.6,5,2,10.5,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],"['没有Blender', '没有No-Cook']",['Stable Energy'],"['Lightning', 'Brainless', 'Fresh Run', 'Portable']","['Sweet', 'Sour', 'Creamy', 'Comfort Food']"
High-Protein Protein Smoothie,banana berries greek yogurt milk protein powder,Protein 22.7g Calories 315.1,"Add all ingredients to a blender. Blend until smooth, adding a splash of liquid if needed. Pour into a glass and serve cold.",Breakfast,Dairy,Blender,Blend,22.7,315.1,26.9,7.5,5,2,5.0,Breakfast,['Breakfast'],['Vegan'],['Contains Dairy'],"['没有Blender', '没有No-Cook']",['Stable Energy'],"['Lightning', 'Brainless', 'Fresh Run', 'Portable']","['Sweet', 'Sour', 'Creamy']"
